objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Dobble Marvel","63268","0","0","0","1","0","0","0","0","0","0","0","3","","07-3","","","","135696155","6.36418","6.52986","1.0384","1653","48837","thing","Spot it!","2","8","15","15","15","2021","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","Zygomatic","English","2021","English edition 2021"
"Dobble Star Wars: Mandalorian","63268","0","0","0","1","0","0","0","0","0","0","0","3","","07-3","","","","128004064","6.36418","6.52986","1.0384","1653","48837","thing","Spot it!","2","8","15","15","15","2022","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","Zygomatic","German","2022","German edition"
"Dobble: Star Wars","63268","0","0","0","1","0","0","0","0","0","0","0","3","","07-3","","","","53756807","6.36418","6.52986","1.0384","1653","48837","thing","Spot it!","2","8","15","15","15","2016","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","asmodee","German","2016","Asmodee German edition"
"Dobj egy sárgát!","429963","0","0","0","1","0","0","0","0","0","0","0","3","","08-3","","","","135696623","5.50207","5.78462","1","24571","262","thing","Texas Hold It","2","6","15","15","10","2025","4,5,6","5","","","","","","","","standalone","","Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"Dock","315531","0","0","0","1","0","0","0","0","0","0","0","3","","17-4","","","","88178735","0","5.60714","0","0","59","thing","Dock","1","10","45","45","20","2020","","","","","","","","","","standalone","","Cogitate Games","English; Hungarian","2020","Multilingual edition"
"Dog Lover","344839","0","0","0","1","0","0","0","0","0","0","0","3","","04-4","","","","105487394","5.94801","6.71477","1.8333","3454","2736","thing","Dog Lover","2","4","30","30","30","2022","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Reflexshop","Hungarian","2022","Hungarian edition"
"Dog Park","331401","0","0","0","1","0","0","0","0","0","0","0","3","","02-5","","","","113318325","6.31626","6.88896","2.1679","1789","8556","thing","Dog Park","1","4","80","80","40","2022","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Birdwood Games","English","2022","English edition"
"Dog Park: New Tricks","381242","0","0","0","1","0","0","0","0","0","0","0","3","","02-5","","","","128494471","5.61201","7.45732","2.2857","0","1663","thing","Dog Park: New Tricks","1","5","90","90","50","2024","1,3,4,5","1,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Birdwood Games","English","2024","English edition"
"Dolmen","161921","0","0","0","1","0","0","0","0","0","0","0","3","","78-3","","","","124413366","5.58318","6.79437","2.5714","10198","286","thing","Dolmen","2","4","30","30","30","2015","3,4","4","10+","No necessary in-game text","","","","","","standalone","","eggertspiele","English; German","2015","English/German edition"
"Dominant Species","62219","0","0","0","1","0","0","0","0","0","0","0","3","","83-3","","","","118647258","7.55629","7.80347","4.0413","109","24471","thing","Dominant Species","2","6","240","240","120","2010","3,4,5,6","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","GMT Games","English","2010","English edition, first printing"
"Dominion","36218","0","0","0","1","0","0","0","0","0","0","0","3","","58-3","","","","53483422","7.47476","7.59778","2.3454","142","128845","thing","Dominion","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2009","Hungarian edition"
"Dorfromantik: A társasjáték","370591","0","0","0","1","0","0","0","0","0","0","0","3","","59-2","","","","111401224","7.16096","7.60486","1.6385","337","22740","thing","Dorfromantik: The Board Game","1","6","60","60","30","2023","1,2,3","1,2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.","Hungarian","2023","Hungarian edition"
"Dorfromantik: Párbaj","395364","0","0","0","1","0","0","0","0","0","0","0","3","","51-3","","","","137116270","5.79274","6.99664","1.7333","4815","2453","thing","Dorfromantik: The Duel","2","2","45","45","30","2024","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"DOS","246701","0","0","0","1","0","0","0","0","0","0","0","3","","06-3","","","","55944810","5.189","4.84208","1.4","29840","7115","thing","DOS","2","4","45","45","30","2018","3,4","3","6+","No necessary in-game text","","","","","","standalone","","Mattel, Inc.","English","2018","English edition"
"Double Six Dominoes","2394","0","0","0","1","0","0","0","0","0","0","0","3","","18-1","","","","53784415","5.4904","5.55547","1.3652","27063","17674","thing","Dominoes","2","10","30","30","30","1500","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","Wood Expressions","English","0","Wood Expressions edition"
"Downforce","215311","0","0","0","1","0","0","0","0","0","0","0","3","","27-2","","","","55033222","6.9987","7.2594","1.7346","490","20165","thing","Downforce","2","6","40","40","20","2018","2,3,4,5,6","3,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Reflexshop","Hungarian","2018","Hungarian edition"
"Drachenland","3208","0","0","0","1","0","0","0","0","0","0","0","3","","II. ","","","","53483536","5.71685","6.26747","1.8349","5885","1696","thing","Dragonland","2","4","45","45","45","2002","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","Ravensburger","German","2002","Ravensburger German edition"
"Draft & Write Records","350185","0","0","0","1","0","0","0","0","0","0","0","3","","65-2","","","","126594404","6.26804","7.31132","2.2338","1939","2377","thing","Draft & Write Records","1","6","60","60","30","2024","1,2,3,4,5,6","3,4","10+","No necessary in-game text","","","","","","standalone","","Inside Up Games","English","2024","English edition"
"Draftosaurus","264055","0","0","0","1","0","0","0","0","0","0","0","3","","28-3","","","","84988017","6.85697","7.08297","1.2447","669","27062","thing","Draftosaurus","2","5","15","15","15","2020","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","Ankama; Reflexshop","Hungarian","2020","Hungarian edition"
"Dragomino: Sárkánytojások nyomában","300010","0","0","0","1","0","0","0","0","0","0","0","3","","58-1","","","","89785105","6.33581","7.03979","1.0632","1734","6995","thing","Dragomino","2","4","15","15","15","2020","2,3,4","3,4","4–12","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2020","Hungarian edition"
"The Dragon & Flagon","193840","0","0","0","1","0","0","0","0","0","0","0","3","","61-1","","","","53766175","5.82942","6.38395","2.375","4418","2457","thing","The Dragon & Flagon","2","8","60","60","60","2016","4,5,6,7,8","6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Stronghold Games","English","2016","English edition"
"Dragon Chess","23724","0","0","0","1","0","0","0","0","0","0","0","3","","18-1","","","","53766874","5.52022","7.21667","0","18922","78","thing","Dragon Chess","2","2","30","30","30","2011","2","2","8+","No necessary in-game text","","","","","","standalone","","Dohánytoys","Hungarian","2011","Hungarian edition"
"Dragon Valley","157083","0","0","0","1","0","0","0","0","0","0","0","3","","21-3","","","","67535889","5.48685","5.32467","1.125","27538","365","thing","Dragon Valley","2","4","20","20","20","2014","2,3,4","2,3","6+","No necessary in-game text","","","","","","standalone","","Queen Games","English; German","2014","English/German first edition"
"Dragonquest: A Fantasy Dice Game","359127","0","0","0","1","0","0","0","0","0","0","0","3","","32-2","","","","128502587","5.51189","6.01301","1.4","21542","288","thing","Dragonquest: A Fantasy Dice Game","1","4","40","40","30","2022","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","Queen Games","Dutch; English; French; German","2022","Multilingual edition"
"Drunter & Drüber","19","0","0","0","1","0","0","0","0","0","0","0","3","","58-4","","","","100907091","5.85276","6.27216","1.8155","4192","3927","thing","Wacky Wacky West","2","4","45","45","30","1991","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Hans im Glück","German","1991","German second edition"
"Duck & Cover","422019","0","0","0","1","0","0","0","0","0","0","0","3","","03-2","","","","125929285","5.96833","6.61361","1.0465","3324","3399","thing","Duck & Cover","2","7","20","20","15","2025","2,3,4,5,6,7","4,6","6+","No necessary in-game text","","","","","","standalone","","Captain Games","Dutch; English; French","2025","English/French/Dutch edition"
"Duck & Cover: Artist Pack","430300","0","0","0","1","0","0","0","0","0","0","0","3","","03-2","","","","133238561","5.53738","7.89474","1","0","257","thing","Duck & Cover: Artist Pack","8","9","0","0","0","2024","","","8+","","","","","","","expansion","","Captain Games","English; French","2024","English/French edition 2024"
"Dudab","165414","0","0","0","1","0","0","0","0","0","0","0","3","","06-1","","","","53483556","5.49681","5.40952","1.5","25864","172","thing","Dudab","2","6","30","30","30","2014","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","A-games (Board Game)","English; German; Hungarian","2014","Multilingual first edition"
"Dudab Buba","257595","0","0","0","1","0","0","0","0","0","0","0","3","","06-1","","","","60617459","0","4.9","1","0","37","thing","Dudab Buba","2","6","30","30","15","2018","","","","","","","","","","standalone","","A-games (Board Game); Delta Vision Publishing","English; German; Hungarian","2018","English/German/Hungarian edition"
"Duel for Cardia","447243","0","0","0","1","0","0","0","0","0","0","0","3","","56-3
*III","","","","135864297","6.5188","7.5445","1.7869","1257","5715","thing","Duel for Cardia","2","2","15","15","15","2025","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Piatnik","Hungarian","2025","Hungarian edition"
"Duel for Cardia: Ceremonia Promo Card","451441","0","0","0","1","0","0","0","0","0","0","0","3","","56-3
*III","","","","137583653","0","7.45652","0","0","374","thing","Duel for Cardia: Ceremonia Promo Card","2","2","15","15","15","2025","","","","","","","","","","expansion","","","","",""
"Dűlőre jutunk","412527","0","0","0","1","0","0","0","0","0","0","0","3","","70-4","","","","117502336","5.55462","7.73086","2.1429","12497","198","thing","Dűlőre jutunk","1","4","40","40","30","2024","1,2,3,4","2,3,4","6+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Dűne: Impérium","316554","0","0","0","1","0","0","0","0","0","0","0","3","","76-2","","","","94862192","8.22289","8.41416","3.0746","5","75553","thing","Dune: Imperium","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Dire Wolf; Reflexshop","Hungarian","2022","Hungarian edition"
"Dűne: Impérium – Felkelés","397598","0","0","0","1","0","0","0","0","0","0","0","3","","76-2","","","","120341744","8.20201","8.69943","3.5187","7","25265","thing","Dune: Imperium – Uprising","1","6","120","120","60","2024","1,2,3,4,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Reflexshop","Hungarian","2024","Hungarian edition"
"Dungeon Petz","97207","0","0","0","1","0","0","0","0","0","0","0","3","","83-3","","","","53767291","7.11969","7.38471","3.6331","367","20763","thing","Dungeon Petz","2","4","90","90","90","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","Czech Games Edition; Z-Man Games","English","2011","English edition 2011"
"DUOS","338006","0","0","0","1","0","0","0","0","0","0","0","3","","09-4","","","","111402251","5.55963","6.87333","1.3333","12007","245","thing","DUOS","2","6","45","45","15","2022","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Duplán okos húzás!","269210","0","0","0","1","0","0","0","0","0","0","0","3","","17-5","","","","98599598","7.038","7.4197","2.2732","448","19098","thing","Twice as Clever!","1","4","30","30","30","2022","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","Compaya.hu: Gamer Café Kft.","Hungarian","2022","Hungarian edition"
"E.T. The Extra-Terrestrial: Light Years From Home Game","355772","0","0","0","1","0","0","0","0","0","0","0","3","","25-1","","","","124662311","5.74562","6.80466","2","5412","3006","thing","E.T. The Extra-Terrestrial: Light Years From Home Game","2","4","30","30","30","2022","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Funko Games","English","2022","English edition"
"Ébredés","332772","0","0","0","1","0","0","0","0","0","0","0","3","","75-3","","","","107912162","7.61883","8.07198","3.4568","90","17425","thing","Revive","1","4","120","120","90","2023","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.","Hungarian","2023","Hungarian edition"
"Ébredő erdő","328479","0","0","0","1","0","0","0","0","0","0","0","3","","62-4","","","","88478445","6.79516","7.22926","2.2107","750","13179","thing","Living Forest","1","4","40","40","40","2021","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2021","Hungarian edition"
"Edo","113636","0","0","0","1","0","0","0","0","0","0","0","3","","75-1","","","","53483564","6.16498","7.02011","2.9643","2329","2853","thing","Edo","2","4","60","60","60","2012","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","Queen Games","Dutch; English; French; German; Spanish","2012","ENG/FRE/DUT/SPA/GER edition"
"Az égbolt vándorai","362986","0","0","0","1","0","0","0","0","0","0","0","3","","75-3","","","","108176762","6.53242","7.32398","2.6667","1230","6328","thing","Tribes of the Wind","2","5","90","90","40","2023","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2023","Hungarian edition"
"ego","39564","0","0","0","1","0","0","0","0","0","0","0","3","","09-3","","","","66159737","5.44086","5.30328","1","29440","1098","thing","ego","2","6","45","45","45","2007","3,4,5,6","4,5","14+","","","","","","","standalone","","Gém Klub Kft.","Hungarian","0","Hungarian edition"
"Egri Csillagok 1552","375445","0","0","0","1","0","0","0","0","0","0","0","3","","73-3","","","","105676022","0","6.23684","2","0","35","thing","Egri Csillagok 1552","4","6","120","120","60","2022","5","5","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Korona Games","Hungarian","2022","Hungarian edition"
"Egyszer volt...","357270","0","0","0","1","0","0","0","0","0","0","0","3","","13-5","","","","99844648","0","5.89286","1","0","34","thing","Egyszer volt...","2","5","60","60","45","2021","","","","","","","","","","standalone","","Libertine Books Kft.","Hungarian","2021","Hungarian edition"
"Eight-Minute Empire","131366","0","0","0","1","0","0","0","0","0","0","0","3","","02-2","","","","53881980","6.31514","6.54566","1.6267","1793","10790","thing","Eight-Minute Empire","2","5","20","20","8","2013","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","Red Raven Games","English","2013","English first edition"
"Einfach Genial Junior","32876","0","0","0","1","0","0","0","0","0","0","0","3","","23-2","","","","124447193","0","5.90909","1.5","0","55","thing","Einfach Genial Junior","1","4","30","30","30","2007","2,3,4","3","5+","No necessary in-game text","","","","","","standalone","","KOSMOS","German","2007","German edition"
"Einfach Genial: Reiseedition","22484","0","0","0","1","0","0","0","0","0","0","0","3","","53-3","","","","53882001","6.25143","7.09159","1.8545","1998","3055","thing","Ingenious: Travel Edition","2","2","30","30","30","2006","2","2","8+","No necessary in-game text","","","","","","standalone","","KOSMOS","German","2006","KOSMOS German edition 2006"
"Eiszeit","5767","0","0","0","1","0","0","0","0","0","0","0","3","","72-5","","","","58984294","5.68938","6.1198","2.3421","6415","2019","thing","Mammoth Hunters","3","5","90","90","90","2003","3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","alea; Ravensburger","German","2003","German edition"
"EladLak!","172","0","0","0","1","0","0","0","0","0","0","0","3","","03-3","","","","53764369","7.13815","7.26383","1.251","353","43005","thing","For Sale","3","6","30","30","30","2016","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","Compaya.hu: Gamer Café Kft.","Hungarian","2016","Hungarian edition"
"Elasund: The First City","19526","0","0","0","1","0","0","0","0","0","0","0","3","","73-2","","","","53482812","6.13811","6.5889","2.7255","2446","4634","thing","Elasund: The First City","2","4","90","90","60","2005","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","Catan GmbH; KOSMOS; Mayfair Games","English","2005","English edition"
"Elchfest","403","0","0","0","1","0","0","0","0","0","0","0","3","","54-2","","","","53765543","5.7926","6.16564","1.0484","4819","2458","thing","Elk Fest","2","2","15","15","15","1999","2","2","5+","No necessary in-game text","","","","","","standalone","","KOSMOS","German","1999","KOSMOS German edition"
"Elder Sign","100423","0","0","0","1","0","0","0","0","0","0","0","3","","61-1","","","","53767545","6.77809","6.96724","2.3441","777","43814","thing","Elder Sign","1","8","90","90","90","2012","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Fantasy Flight Games","English","2012","English edition 2012"
"Eldorádó legendája","217372","0","0","0","1","0","0","0","0","0","0","0","3","","33-2
*IV","","","","86804238","7.52915","7.71175","1.9398","121","51698","thing","The Quest for El Dorado","2","4","60","60","30","2020","2,3,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Reflexshop","Hungarian","2020","Hungarian edition"
"Eldorádó legendája: Az aranyváros templomai","271615","0","0","0","1","0","0","0","0","0","0","0","3","","33-2","","","","125139695","6.49903","7.63365","2.0256","1309","5673","thing","The Quest for El Dorado: The Golden Temples","2","4","60","60","30","2024","2,3,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Reflexshop","Hungarian","2024","Hungarian edition"
"Eldritch Horror","146021","0","0","0","1","0","0","0","0","0","0","0","3","","80-3","","","","53766121","7.49475","7.74412","3.3197","134","59488","thing","Eldritch Horror","1","8","240","240","120","2017","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Delta Vision Publishing; Fantasy Flight Games","Hungarian","2017","Hungarian edition"
"Az élet játéka","28609","0","0","0","1","0","0","0","0","0","0","0","3","","35-3","","","","103849255","5.51925","5.73698","1.3514","19202","1809","thing","The Game of Life: Twists & Turns","2","4","60","60","60","2007","2,3,4","4","8–18","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Hasbro","Hungarian","0","Hungarian edition"
"Elfenland","10","0","0","0","1","0","0","0","0","0","0","0","3","","60-3","","","","53483631","6.42176","6.67497","2.1489","1502","11889","thing","Elfenland","2","6","60","60","60","1998","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","AMIGO","German","1998","German first edition"
"Az elhagyatott könyvtár","300023","0","0","0","1","0","0","0","0","0","0","0","3","","14-4","","","","118204389","5.54086","5.97292","1.8","14271","513","thing","Die verlassene Bibliothek","1","4","75","75","60","2020","1,2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","moses. Verlag GmbH; Reflexshop","Hungarian","2020","Hungarian edition"
"Eltűnt fajok nyomában","358557","0","0","0","1","0","0","0","0","0","0","0","3","","78-5","","","","129865651","6.49038","7.76999","2.9722","1332","4780","thing","The Search for Lost Species","1","4","75","75","60","2024","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Elveszett Városok","50","0","0","0","1","0","0","0","0","0","0","0","3","","55-2","","","","53483641","7.14988","7.25516","1.4748","343","74865","thing","Lost Cities","2","2","30","30","30","2008","2","2","8+","No necessary in-game text","","","","","","standalone","","KOSMOS; Piatnik","Hungarian","2008","Hungarian edition"
"Elvetemült veteményes","302260","0","0","0","1","0","0","0","0","0","0","0","3","","03-4","","","","95420501","6.2673","6.57908","1.2533","1941","10329","thing","Abandon All Artichokes","2","4","20","20","20","2020","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gamewright; Reflexshop","Hungarian","2020","Hungarian edition"
"Emberheart","452817","0","0","0","1","0","0","0","0","0","0","0","3","","77-4","","","","138531216","5.93736","7.44781","2.6522","3525","2059","thing","Emberheart","2","4","90","90","60","2025","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Mindclash Games","English","2025","English edition"
"Empires: Age of Discovery","173442","0","0","0","1","0","0","0","0","0","0","0","3","","75-3","","","","124140753","6.66663","7.82155","3.3125","959","3227","thing","Empires: Age of Discovery","2","6","150","150","50","2015","3,4,5,6","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Eagle-Gryphon Games","English; German","2015","English/German edition"
"Empires: Age of Discovery – Bonus Capital Buildings","185044","0","0","0","1","0","0","0","0","0","0","0","3","","75-3","","","","124140648","5.57649","7.76139","2.75","0","526","thing","Empires: Age of Discovery – Bonus Capital Buildings","2","6","150","150","50","2015","2,3,4,5,6","3,4,5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Eagle-Gryphon Games","English","2015","English edition"
"Empires: Age of Discovery – World Variant Components","185041","0","0","0","1","0","0","0","0","0","0","0","3","","75-3","","","","124140736","5.55454","7.26438","2.8","0","594","thing","Empires: Age of Discovery – World Variant Components","2","6","150","150","50","2015","2,3,4,5,6","3,4,5,6","10+","","","","","","","expansion","","Eagle-Gryphon Games","English","2015","English edition"
"Enciklopédia","351526","0","0","0","1","0","0","0","0","0","0","0","3","","75-5","","","","102130313","6.50066","7.32391","3.0452","1304","6718","thing","Encyclopedia","1","4","120","120","60","2022","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.; Holy Grail Games","Hungarian","2022","Hungarian edition"
"Endeavor: Az ismeretlen vizek hódítói","233398","0","0","0","1","0","0","0","0","0","0","0","3","","76-3","","","","98923255","7.36661","7.85051","2.8502","197","12854","thing","Endeavor: Age of Sail","2","5","90","90","60","2022","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Reflexshop","Hungarian","2022","Hungarian edition"
"Építőmesterek: Középkor","144553","0","0","0","1","0","0","0","0","0","0","0","3","","07-1","","","","53483679","6.1342","6.47175","1.8206","2466","7040","thing","The Builders: Middle Ages","2","4","30","30","30","2014","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2014","Hungarian edition"
"Equinox","329450","0","0","0","1","0","0","0","0","0","0","0","3","","05-2","","","","88475825","6.06062","6.68307","2.0377","2810","4829","thing","Equinox","2","5","60","60","40","2021","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","Piatnik; Plan B Games","Hungarian","2021","Hungarian edition (Stag)"
"Az erdő","391163","0","0","0","1","0","0","0","0","0","0","0","3","","03-5","","","","111805080","7.43886","7.7343","2.2135","154","34586","thing","Forest Shuffle","2","5","60","60","40","2023","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2023","Hungarian edition"
"Az erdő mélyén","376740","0","0","0","1","0","0","0","0","0","0","0","3","","78-5","","","","131248751","6.02888","7.03412","2.9048","2965","3672","thing","Undergrove","1","4","75","75","60","2025","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Reflexshop","Hungarian","2025","Hungarian edition"
"Escape Tales: Children of Wyrmwoods","299800","0","0","0","1","0","0","0","0","0","0","0","3","","01-5","","","","136786365","5.84252","7.0126","2.5263","4300","2573","thing","Escape Tales: Children of Wyrmwoods","1","4","450","450","450","2020","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Board&Dice","English","2020","English edition"
"Escape Tales: Low Memory","282291","0","0","0","1","0","0","0","0","0","0","0","3","","01-5","","","","136786353","5.83826","6.62102","2.5","4335","3022","thing","Escape Tales: Low Memory","1","4","540","540","360","2019","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Board&Dice","English","2019","English edition"
"Escape Tales: The Awakening","253214","0","0","0","1","0","0","0","0","0","0","0","3","","01-5","","","","136786384","6.3212","7.00029","2.1311","1772","5619","thing","Escape Tales: The Awakening","1","4","360","360","180","2018","1,2,3","2","14+","Unplayable in another language","","","","","","standalone","","Board&Dice; Lockme","English","2018","English edition"
"Escape: A Templom átka","113294","0","0","0","1","0","0","0","0","0","0","0","3","","14-4","","","","54165046","6.75217","6.9498","1.4788","813","22070","thing","Escape: The Curse of the Temple","1","5","10","10","10","2013","1,2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Queen Games","Czech; Hungarian; Slovak","2013","Czech/Hungarian/Slovak edition"
"Ethnos","206718","0","0","0","1","0","0","0","0","0","0","0","3","","63-4","","","","95396225","7.16745","7.45747","2.1074","329","16579","thing","Ethnos","2","6","60","60","45","2018","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Delta Vision Publishing","Hungarian","2018","Hungarian edition"
"Az Évad","457964","0","0","0","1","0","0","0","0","0","0","0","3","","28-4","","","","139909045","0","7.875","2","0","13","thing","Az Évad","2","4","40","40","20","2025","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Keller & Mayer","Hungarian","2025","Hungarian edition"
"Everdell: Az Örökfa Árnyékában","199792","0","0","0","1","0","0","0","0","0","0","0","3","","79-4
fa összerakva 79-5","","","","67828771","7.81324","7.98839","2.8337","42","101609","thing","Everdell","1","4","80","80","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Gém Klub Kft.","Hungarian","2019","Hungarian edition"
"Everdell: Fagybérc","289056","0","0","0","1","0","0","0","0","0","0","0","3","","79-4","","","","86044748","7.22265","8.27671","3.0549","0","15418","thing","Everdell: Spirecrest","1","4","100","100","40","2021","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Gém Klub Kft.","Hungarian","2021","Hungarian edition"
"Everdell: Örökpart","394106","0","0","0","1","0","0","0","0","0","0","0","3","","79-5","","","","124878855","6.6834","7.83711","2.831","925","7317","thing","Everdell Farshore","1","4","80","80","40","2024","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Evolúció","155703","0","0","0","1","0","0","0","0","0","0","0","3","","71-2","","","","53483723","6.78986","7.01075","2.4259","757","24859","thing","Evolution","2","6","60","60","60","2015","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.; North Star Games, LLC","Hungarian","2015","Hungarian edition"
"Évszakok","108745","0","0","0","1","0","0","0","0","0","0","0","3","","77-4","","","","53767437","7.14988","7.33724","2.7836","342","31501","thing","Seasons","2","4","60","60","60","2013","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Gém Klub Kft.; Libellud","Hungarian","2013","Hungarian edition"
"EXIT: The Game – The Secret of the Premiere","206943","0","0","0","1","0","0","0","0","0","0","0","3","","61-5
*","","","","100171348","5.59178","6.60699","1","9656","353","thing","EXIT: The Game – The Secret of the Premiere","1","6","45","45","20","2016","1,2,3,4","2","8+","","","","","","","standalone","","","","",""
"Exploding Kittens: Original Edition","172225","0","0","0","1","0","0","0","0","0","0","0","3","","02-4","","","","53483761","5.88447","6.06918","1.0812","3924","90071","thing","Exploding Kittens","2","5","15","15","15","2018","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Ad Magic, Inc. (AdMagic Games)","English","2018","AdMagic English v2.1 edition"
"Express 01","127798","0","0","0","1","0","0","0","0","0","0","0","3","","02-1","","","","53766995","5.46028","4.93827","2.9048","29113","408","thing","Express 01","2","4","60","60","60","2012","","2","","No necessary in-game text","","","","","","standalone","","eggertspiele","English; German","2012","English/German edition"
"Az Ezüst-tó kincse","40609","0","0","0","1","0","0","0","0","0","0","0","3","","35-2","","","","62229358","5.50811","6.0675","1.5","22751","161","thing","Az Ezüst-tó kincse","2","6","90","90","60","2016","2,3,4,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Retro Games Ltd","Hungarian","2016","Third edition"
